nome_aceito_correto,nomes_originais,elegivel_produto_1,splink_t20,gbif_t20,splink_rbcv,gbif_rbcv,sum,entra,notas_all,especialista
Pteroglossa macrantha,Pteroglossa macrantha,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Rauhiella silvana,Rauhiella silvana,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Rodriguezia obtusifolia,Rodriguezia obtusifolia,apta,TRUE,TRUE,TRUE,TRUE,4,entra,"NA",
Rodriguezia rigida,Rodriguezia rigida,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Rodriguezia venusta,Rodriguezia venusta,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Sarcoglottis acaulis,Sarcoglottis acaulis,examinar,TRUE,TRUE,TRUE,TRUE,4,nao entra,Não foi avaliada,
Sarcoglottis alexandri,Sarcoglottis alexandri-Sarcoglottis alexandrii,apta,TRUE,NA,TRUE,NA,2,entra,Nome original mal escrito-NA,
Sarcoglottis uliginosa,Sarcoglottis uliginosa,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Saundersia paniculata,Saundersia paniculata,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Scuticaria kautskyi,Scuticaria kautskyi,examinar,NA,NA,NA,NA,NA,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA
Scuticaria strictifolia,Scuticaria strictifolia,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Skeptrostachys arechavaletanii,Skeptrostachys arechavaletanii,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Specklinia gomesferreirae,Specklinia gomesferreirae,examinar,NA,NA,NA,NA,NA,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA
Stanhopea insignis,Stanhopea insignis,apta,FALSE,FALSE,TRUE,FALSE,1,entra,"NA",
Stanhopea lietzei,Stanhopea lietzei,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Stelis argentata,Stelis itatiayae,apta,TRUE,TRUE,TRUE,TRUE,4,entra,Nome original era sinônimo,
Stelis ruprechtiana,Stelis ruprechtiana,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Stigmatosema hatschbachii,Stigmatosema hatschbachii,examinar,FALSE,NA,FALSE,NA,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Thysanoglossa jordanensis,Thysanoglossa jordanensis,apta,NA,NA,NA,NA,NA,entra,"NA",
Trizeuxis falcata,Trizeuxis falcata,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Vanilla chamissonis,Vanilla chamissonis,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Vanilla dubia,Vanilla dubia,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Vanilla edwallii,Vanilla edwallii,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Vanilla organensis,Vanilla organensis,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Warmingia eugenii,Warmingia eugenii,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Warrea warreana,Warrea warreana,examinar,FALSE,FALSE,FALSE,FALSE,0,nao entra,Não foi avaliada,
Wullschlaegelia aphylla,Wullschlaegelia aphylla,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Xylobium colleyi,Xylobium colleyi,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Zootrophion atropurpureum,Zootrophion atropurpureum,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Zygopetalum crinitum,Zygopetalum crinitum,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Zygopetalum maxillare,Zygopetalum maxillare,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Zygostates bradei,Zygostates bradei,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Zygostates cornuta,Zygostates cornuta,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Zygostates linearisepala,Zygostates linearisepala,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Zygostates pellucida,Zygostates pellucida,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Acianthera pernambucensis,Acianthera pernambucensis,examinar,FALSE,NA,FALSE,NA,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Bifrenaria tyrianthina,Bifrenaria tyrianthina,examinar,TRUE,FALSE,TRUE,FALSE,2,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,FBnao- OCCScruzam
Cattleya aclandiae,Cattleya aclandiae,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Cattleya tenuis,Cattleya tenuis,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Cleistes aphylla,Cleistes aphylla,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
