"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","sex"
"102","2019-06-11 14:10:58-03","F","FMNH-SEEDPLANTS","V0355317F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Hillia","ulei","Hillia ulei",NA,NA,"C. Díaz S.","602","1978","11","9","South America","Peru","Loreto",NA,"-75","-4",NA,NA,NA,NA,"V0355317F","V0355317F_01","RRC ID Flag",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"602",NA,NA
"103","2019-06-11 14:09:03-03","F","FMNH-SEEDPLANTS","V0355318F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Hillia","ulei","Hillia ulei",NA,NA,"B. A. Krukoff","10171","1939","7","1","South America","Bolivia","La Paz",NA,"-68","-15.5",NA,NA,NA,NA,"V0355318F","V0355318F_01","RRC ID Flag",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"10171",NA,NA
"104","2019-09-05 15:40:17-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Hillia","viridiflora","Hillia viridiflora",NA,"Isotype","E. H. G. Ule","15737",NA,NA,NA,"South America","Peru",NA,NA,"-74.14","-9.1839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"105","2020-07-23 12:20:36-03","CEPLAC","CEPEC","20334","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei",NA,NA,"A. M. de Carvalho","287","1980","07","21",NA,"Brasil","Bahia","Estrada Buerarema/Pontal de Ilhéus.","-39.2997016906738","-14.959400177002",NA,NA,NA,NA,NA,NA,"C. M. Taylor","BUERAREMA",NA,NA,NA,NA,"14251","auto",NA,"30/12/2012",NA,NA,NA,NA
"106","2020-07-23 12:20:36-03","CEPLAC","CEPEC","6447","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei",NA,NA,"T. S. dos Santos","1420","1971","01","25",NA,"Brasil","Bahia","Estrada a Jacarecí.","-39.4958000183105","-15.4191999435425",NA,NA,NA,NA,NA,NA,"C. M. Taylor","CAMACAN",NA,NA,NA,NA,"22686","auto",NA,"30/12/2012",NA,NA,NA,NA
"107","2020-07-23 12:20:36-03","CEPLAC","CEPEC","24907","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei",NA,NA,"J. L. Hage","1375","1981","09","23",NA,"Brasil","Bahia","Área do CEPEC.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,"C. M. Taylor","ILHÉUS",NA,NA,NA,NA,"61245","auto",NA,"30/12/2012",NA,NA,NA,NA
"108","2020-07-23 12:20:36-03","CEPLAC","CEPEC","24879","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei",NA,NA,"T. S. dos Santos","3649","1981","08","24",NA,"Brasil","Bahia","Área do CEPEC. Quadra D.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,"C. M. Taylor","ILHÉUS",NA,NA,NA,NA,"61245","auto",NA,"30/12/2012",NA,NA,NA,NA
"109","2020-07-23 12:20:36-03","CEPLAC","CEPEC","59723","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei",NA,NA,"A. M. Amorim","1442","1993","11","10",NA,"Brasil","Bahia","Reserva Biológica do Mico-leão, Entrada KM 46 BA-001 Ilheus/Una. Picada da Bandeira.","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,"C. M. Taylor","UNA","39W5'0","15S9'0",NA,NA,NA,NA,NA,"30/12/2012",NA,NA,NA,NA
"110","2010-04-22 14:53:39-03","UFAC","LABEV","2232",NA,"Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei",NA,NA,"Acevedo-Rdgz., P.","14998",NA,NA,NA,NA,"Brazil","Acre","Riocinho Anjira. Along Rio Anjira","-67.9522","-9.83056","160","160",NA,"HABITAT: Varzea forest",NA,NA,NA,"Bujarí",NA,NA,NA,NA,"79130","auto",NA,NA,NA,NA,NA,NA
"111","2010-04-22 14:53:39-03","UFAC","LABEV","857",NA,"Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei",NA,NA,"F. Obermüller","210",NA,NA,NA,NA,"Brazil","Acre","Riozinho do Andirá","-67.9522","-9.83056",NA,NA,NA,"HABITAT: Floresta Primária de Varzea",NA,NA,"F. Obermüller","Bujari",NA,NA,NA,NA,"79130","auto",NA,NA,NA,NA,NA,NA
"112","2010-04-22 14:53:39-03","UFAC","LABEV","1788",NA,"Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei",NA,NA,"F. Obermüller","422",NA,NA,NA,NA,"Brazil","Acre","Riozinho do Andirá","-67.9522","-9.83056",NA,NA,NA,"HABITAT: Floresta Primária de Varzea",NA,NA,"F. Obermüller","Bujari",NA,NA,NA,NA,"79130","auto",NA,NA,NA,NA,NA,NA
"113","2020-09-18 09:33:56-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Hillia","ulei","Hillia ulei","Ehringhaus, C; Daly, D; SILVA, D G P; OLIVEIRA, A S; OLIVEIR",NA,"Silveira, M","1322",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","2019-11-01 15:09:17-03","UnB","UB","176580","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rubiaceae","Hillia","viridiflora","Hillia viridiflora","Kuhlmann & Silveira",NA,"Santos, TS","3649","1981","08","24","Southern America","Brasil","Bahia","Área do CEPEC (Centro de Pesquisas do Cacau), Km 22 da Rodovia Ilhéus/Itabuna (BR-415)","-39.0494003295898","-14.7889003753662",NA,NA,NA,"Epífita. Frutos imaturos verdes.",NA,NA,"Kirkbride Junior, JH","Ilhéus",NA,NA,"1982",NA,"61245","auto",NA,NA,NA,NA,NA,NA
"115","2018-12-04 20:29:08-02","UNIR","RON","436","S","Plantae","Angiosperma","Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"Reis, NFC","03","2009","12","09","Southern America","Brasil","Rondônia","Parcela 13. Setor: 02. Margem Direita. Solo fora da parcela do tipo argilo-arenoso.","-64.09","-8.989444",NA,NA,NA,"Arvoreta de 2 metros. Casca com lenticelas, de aparência lisa. Com exsudato do tipo seiva. Indumento com pilosidade de cor branca na nervura central da folha. Folha de consistência membranácea. Fruto carnoso indeiscente de coloração","RON00000436","RON00000436","Santos, JL","Porto Velho","-64.09","-8.989444","2011","04",NA,NA,NA,NA,"10",NA,NA,NA
"116","2019-11-21 10:18:01-03","IBt","SP","350217","S","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"Nee, M; Bohs, L","49572","1998","06","01",NA,"Bolívia","Santa Cruz","Parque Nacional Amboró, On trail to Campamento Mataracú from crossing over Río Yapacaní","-63.866667","-17.533333","350","350",NA,NA,NA,NA,"Taylor, CM","Ichilo","-63.866667","-17.533333","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","2019-11-21 10:18:01-03","IBt","SP","384577","S","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"Souza, VC","25783","2001","07","12",NA,"Brasil","Minas Gerais","Morro da Antena de Televisão, afloramentoo rochoso com cerrado adjacente","-42.928333","-16.724444","1200","1200",NA,NA,NA,NA,"Mamede, MCH","Cristália","-42.928333","-16.724444","2008","12",NA,NA,NA,NA,NA,NA,NA,NA
"118","2019-11-21 10:18:01-03","IBt","SP","82622","S","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"Correa Gomes Jr, J","2672-A","1965","03","31",NA,"Brasil","São Paulo","Ilha Vitória, Litoral Norte","-45.3499984741211","-23.7700004577637",NA,NA,NA,NA,NA,NA,"Jung Mendaçolli, SL","Ilhabela",NA,NA,"2006","10","23719","auto",NA,NA,"29",NA,NA,NA
"119","2010-08-16 16:36:06-03","GH","HU-HERB","GH 00096970","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","irwinii","Hillia irwinii","Steyermark","Isotype","W. A. Egler & H. S. Irwin","46683","1961","8","26","South America","Brazil","Amapá (Terr.)","Rio Jari, near Cachoeira Macacoara, 0°53'N, 53°21'W, ca. 200 m","-53.35","0.88333333",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46683",NA,"undetermined"
