"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"105","2021-02-08 12:39:22-03","UFRGS","ICN","184043","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell",NA,NA,NA,NA,"Ferreira, PPA; Miotto, STS; Durigon, J; Fernandes, AC; Dettke, GA","613","2011","02","01","Brasil","PR","Campo Largo","Bateias 25° 23' 35.8S 49° 30' 00.6 W","-49.5","-25.393056","-49.5","-25.393056",NA,NA,"prostrada com ápices volúveis, latescente, corola rosa","ICN00031143",NA,"Dicotyledon",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA
"106","2021-02-08 12:39:22-03","UFRGS","ICN","184057","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell",NA,NA,NA,NA,"Ferreira, PPA; Miotto, STS; Durigon, J; Fernandes, AC; Dettke, GA","627","2011","02","02","Brasil","PR","Ponta Grossa","Parque Estadual Vila Velha 25° 14' 11.7 S 49° 59' 24.6 W","-49.99","-25.236389","-49.99","-25.236389",NA,NA,"prostrada com ápices volúveis, latescente, corola rosa","ICN00031148",NA,"Dicotyledon",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA
"107","2021-02-08 12:39:22-03","UFRGS","ICN","184077","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Ferreira, PPA","2011","08","25","Ferreira, PPA; Miotto, STS; Durigon, J; Fernandes, AC; Dettke, GA","647","2011","02","04","Brasil","PR","Piraí do Sul",NA,"-49.846389","-24.426944","-49.846389","-24.426944",NA,NA,"prostrada com ápices volúveis, latescente, corola rosa","ICN00031153",NA,"Dicotyledon",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA
"108","2021-02-08 12:39:22-03","UFRGS","ICN","184078","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Ferreira, PPA","2012","11","23","Ferreira, PPA; Miotto, STS; Durigon, J; Fernandes, AC; Dettke, GA","648","2011","02","04","Brasil","PR","Castro",NA,"-50.1475","-24.762222","-50.1475","-24.762222",NA,NA,"prostrada com ápices volúveis, latescente, corola rosa","ICN00031147",NA,"Dicotyledon",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA
"109","2020-07-02 08:39:51-03","IBt","SP","286555","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Simão Bianchini, R","1997","03","14","Nakajima, JN","738","1994","12","09","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA,NA
"110","2020-10-15 10:08:30-03","IBt","SP","339503","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell",NA,NA,NA,NA,"Hashimoto, G","s.n.","1953","01","19","Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA
"111","2020-12-10 11:27:10-03","IBt","SP","392244","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell",NA,NA,NA,NA,"Cavalcanti, TB","3675","2005","11","26","Brasil","Paraná","Jaguariaíva",NA,"-49.7057991027832","-24.2511005401611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA
"112","2020-07-16 10:05:36-03","IBt","SP","287943","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell",NA,NA,NA,NA,"Kisman, KG","s.n.","1994","12","05","Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA
"113","2020-10-15 10:08:30-03","IBt","SP","339510","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell",NA,NA,NA,NA,"Hashimoto, G","s.n.","1999","11","12","Brasil","Santa Catarina","São Joaquim",NA,"-49.9317016601562","-28.2938995361328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48290","auto",NA,NA,NA,NA
"114","2020-10-15 10:08:30-03","IBt","SP","339509","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell",NA,NA,NA,NA,"Hashimoto, G","s.n.","1992","01","11","Brasil","Santa Catarina","São Joaquim",NA,"-49.9317016601562","-28.2938995361328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48290","auto",NA,NA,NA,NA
