etiqueta_duplicaDO,duplicados
"myrceugenia myrcioidesduarte, a.r.359na",21803/55839
"myrceugenia myrcioidessouza, f.m.2222001",21457
"myrceugenia myrcioidessouza, f.m.; duarte, a.r.; sampaio, d.; bernhardt, r.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.; gandolfi, s.; oliveira, a.a.; souza, j.p.; ivanauskas, n.m.; furlan, e.2222001",21454/55877/21461/55606
"myrceugenia myrcioidesfarah, f.t.21852001",21453/55876
"myrceugenia myrcioidesfarah, f.t.; aguiar, s.; breier, t.b.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.; gandolfi, s.; souza, j.p.; ivanauskas, n.m.; furlan, e.21852001",21460/55642
"myrceugenia myrcioidesfarah, f.t.; aguiar, s.; breier, t.b.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.21852001",21462/55699
"myrceugenia myrcioidesfarias, r.6952002",21440/55795/21437/55764/21426/55875/55567
"myrceugenia myrcioidesfarias, r.; rolim, s.g.; uliana, v.l.c.r.; righi, c.a.; sacamuzza, c.a.6952002",21433/55685
"myrceugenia myrcioidesfranco, g.a.d.c.; mazine, f.f.; oliveira, r.c.; paranaguá, p.a.; silveira, e.r.; moura, c.; souza, v.c.; rodrigues, r.r.; tamashiro, j.y.29592000",21478/55571
"myrceugenia myrcioidesfranco, g.; mendes, j.c.t.; ferraz, k.m.b.; ferraz, s.f.b.; silva, e.v.; valente, r.; rocha30022000",21470/55694
"myrceugenia myrcioidesfranco, g.; scalon, v.r.; souza, s.c.; siqueira, l.p.; atanasio, c.; sorreano, m.c.; buchineri, v.; r30022000",21474/55935
"myrceugenia myrcioidesgottsberger, g.k.; gottsberger, i.s.s.n.1968",55784/21745
"myrceugenia myrcioidesfranco, g.a.d.c.; scalon, v.r.; siqueira, l.p.; atanasio, c.; sorreano, m.c.; bucheaneri, v.; rodrigues, r.r.; tamashiro, j.y.; souza, v.c.30022000",21469/55874
"myrceugenia myrcioidesgaletti, m.saibadela1941994",21585/56020
"myrceugenia myrcioidesgarcia, r.j.f.8791996",21519/55610/21516/55797/21518/55931
"myrceugenia myrcioidesgarcia, r.j.f.; pascalicchio, f.f.; barretto, e.h.p.; granato, l.; anjos neto, o.s.38222014",21351/55855
"myrceugenia myrcioidesgodoi, j.v.; marzola, e.l.c.; silva, j.s.6241994",21609/55997
"myrceugenia myrcioidesgodoy, s.a.p.6191995",21576/55607/21573/55796/21575/55929
"myrceugenia myrcioidesgodoy, s.a.p.4741995",21567/55922
"myrceugenia myrcioidesgodoy, s.a.p.; pereira, d.l.; ferreira, g.m.p.; garcia, r.j.f.; sordi, s.j.4741995",21562/55730
"myrceugenia myrcioidesgodoy, s.a.p.; pereira, d.l.; ferreira, g.m.p.; silva, l.l.; garcia, r.j.f.6191995",21572/55692
"myrceugenia myrcioidesgomes, s.m.; antunes, r.m.; gomes, p.b.; nakakura, h.c.c.4002002",21431/55702
"myrceugenia myrcioidesgomes, s.m.; antunes, r.m.; gomes, p.b.; nakakura, h.c.c.; melo, m.s.4242002",21430/55701
"myrceugenia myrcioidesgomes, s.m.; antunes, r.m.; gomes, p.b.; nakakura, h.c.c.; melo, m.s.; rodrigues, r.r.; souza4232002",21432/55703
"myrceugenia myrcioidesgomes, s.m.; antunes, r.m.; gomes, p.b.; nakakura, h.c.c.; melo, m.s.; rodrigues, r.r.; souza, v.c.; j.4232002",21435/55832
"myrceugenia myrcioidesgomes, s.m.; antunes, r.m.; gomes, p.b.; nakamura, h.c.c.; melo, m.s.4242002",21439/55846
"myrceugenia myrcioidesgomes, s.m.4002002",21438/55842/21427/55878
"myrceugenia myrcioidesgottsberger, g.k.13-251968",21741/55768
"myrceugenia myrcioidesgottsberger, g.k.; gottsberger, i.13-25681968",21747/55934
"myrceugenia myrcioideshashimoto, g.170441948",21772/55983
"myrceugenia myrcioidesivanauskas, n.m.15041996",21520/55746
"myrceugenia myrcioidesivanauskas, n.m.; furlan, e.21852001",21456/55845
"myrceugenia myrcioidesmattos, j.r.124491965",21757/55559/21756/55809/21758/55992/21755/55756
"myrceugenia myrcioidesmattos, j.r.138761966",21752/55560/55565/21750/55790/21753/55994/56027/21751/55916
"myrceugenia myrcioidesmattos, j.r.; handro, o.88691961",21765/55787/21766/55911/21767/55977
"myrceugenia myrcioidesmeira neto, j.a.a.7841991",21678/21676/55739/21677/55774/55778
"myrceugenia myrcioidespastore, j.a.; moura, c.11832002",21448/55871/21451/55602
"myrceugenia myrcioidesfaria, j.e.q.; lima, m.e.l.29892012",21362/55655
"myrceugenia myrcioideskirizawa, m.28321993",21631/56021
"myrceugenia myrcioideskuhlmann, m.s.n.1942",21776/55995/56028/21775/55908/21774/55785/55789
"myrceugenia myrcioideskuhlmann, m.; kuehn, e.; kuehn, e.s.n.1941",21777/55766
"myrceugenia myrcioideskuhlmann, m.; kühn, e.s.n.1941",21779/55912/21780/55978/56026
"myrceugenia myrcioidesnetto, l.s.n.1905",21782/55786
"myrceugenia myrcioidesbernacci, l.c.; franco, g.a.d.c.; durigan, g.; furlan, e.34792001",21452/55815
"myrceugenia myrcioidesbernacci, l.c.; franco, g.a.d.c.; durigan, g.; árbocz, g.f.; siqueira, m.; ramos, v.s.; furlan, e.34962000",21486/55816
"myrceugenia myrcioideslazzaro, l.g.; santos, c.g.192018",21343/55892
"myrceugenia myrcioideslazzaro, l.g.; santos, c.g.202018",21342/55893
"myrceugenia myrcioidesleitão filho, h.f.334201995",21555/55624/21544/55792/21539/21547/55729/55921
"myrceugenia myrcioideslima, r.a.f.467na",21802/55641
"myrceugenia myrcioidesloefgren, a.cgg35541897",21783/21784/55940/55941
"myrceugenia myrcioideslucas, e.j.822003",21418/55625
"myrceugenia myrcioideskuhlmann, m.; kuehn, e.s.n.1941",21778/55783/55788
"myrceugenia myrcioidesmarchiori, n.m.; toledo, w.; munhoz, i.; cano, g.b.; santos, f.c.2872011",21364/55687
"myrceugenia myrcioidesmarchiori, n.m.; toledo, w.; munhoz, i.; cano, g.b.; santos, f.c.6202011",21363/21365/55686/55688
"myrceugenia myrcioidesmattos, j.r.88691961",21764/55791/21763/55752
"myrceugenia myrcioidesmattos, j.r.118071964",21761/55980/21759/55753
"myrceugenia myrcioidesmattos, j.r.134911966",21749/55993/21748/55917
"myrceugenia myrcioidesmattos, j.r.159121981",21731/55907
"myrceugenia myrcioidesmattos, j.r.s.n.1964",21760/21762/55914/55915
"myrceugenia myrcioidesmattos, n.f.; mattos, j.r.11960",21770/55913
"myrceugenia myrcioidesmello-silva, r.5761992",21650/55803
"myrceugenia myrcioidesmiyagi, p.h.5031995",21553/55586/21545/55804/21550/55924
"myrceugenia myrcioidesmiyagi, p.h.5061995",21552/55614/21546/55805/21549/55925
"myrceugenia myrcioidesmiyagi, p.h.; zandoval, j.a.; souza5031995",21541/55741
"myrceugenia myrcioidesmiyagi, p.h.; zandoval, j.a.; souza5061995",21540/55742
"myrceugenia myrcioidesmoraes, p.l.r.21652000",21479/55639
"myrceugenia myrcioidesmoraes, p.l.r.6971992",21651
"myrceugenia myrcioidesmoraes, p.l.r.8131993",21618
"myrceugenia myrcioidesmoraes, p.l.r.8171993",21620
"myrceugenia myrcioidesmoraes, p.l.r.8181993",21619/21621
"myrceugenia myrcioidesmoura, c.3492011",21367/55782
"myrceugenia myrcioidesmynssen, c.m.10432006",21393/55938
myrceugenia myrcioidesna2222001,21459/55747
myrceugenia myrcioidesna19302000,21467/55860
"myrceugenia myrcioidesnicolau, s.a.; braz, j.d.; braz, s.a.29902001",21463/55979
"myrceugenia myrcioidesmoraes, p.l.r.1961990",21688/55906
"myrceugenia myrcioidespadgurschi, m.c.g.; belinello, r.m18302009",21376/55722
"myrceugenia myrcioidespaiva, j.c.s.n.1945",21773/55918
"myrceugenia myrcioidespastore, j.a.; al.11902002",21449/55758
"myrceugenia myrcioidespastore, j.a.; moura, c.11902002",21450/55936
"myrceugenia myrcioidesmoraes, p.l.r.s.n.na",21791
"myrceugenia myrcioidespereira, l.s.; tamashiro, j.y.; belinello, r.; padgurschi, m.c.g.n4992007",21386/55723
"myrceugenia myrcioidespirani, j.r.31141994",21586/55693/21587/55769
"myrceugenia myrcioidespirani, j.r.; garcia, r.f.31141994",21590/55616
"myrceugenia myrcioidespirani, j.r.; garcia, r.j.f.31141994",21589/55927
"myrceugenia myrcioidespolisel, r.t.11862013",21354/55847/21355
"myrceugenia myrcioidesprance, g.t.; shepherd, g.j.; benson, w.w.69261978",21739/55697
"myrceugenia myrcioidesgarcia, r.; g. ferreira, c.p.f.8791996",21517/55649
"myrceugenia myrcioidespolisel, r.t.3352006",21388/21389/55643/55884
"myrceugenia myrcioidespolisel, r.t.; diogo, i.; oliveira neto, m.; campos-rocha, a.; souza, v.c.; rodrigues, r.r.; tamashiro, j.y.; ivanauskas, n.m.11862013",21353/55895
"myrceugenia myrcioidesriedel, l.25456na",21796/55653
"myrceugenia myrcioidesrodrigues, r.r.; figueiredo, n.156731982",21730/55738
"myrceugenia myrcioidesbortoleto, s.1162002",21428/55880
"myrceugenia myrcioidesferreira,s.; rossi, l.; chiea, s.c.; prado, j.1961990",21691/55660/55676
"myrceugenia myrcioidesgodoy, s.a.p.; d.l.pereira, g.m.p.f.g.l.s.6191995",21574/55666
"myrceugenia myrcioidesgodoy, s.a.p.; d.l.pereira, g.m.p.f.g.j.s.4741995",21565/55665
"myrceugenia myrcioidesgomes, s.m.4232002",21425/55879
"myrceugenia myrcioidessantos neta, a.c.; búgola silva, f.; almeida scabbia, r.j.; yang, a.m.k.542008",21379/55939
"myrceugenia myrcioidessantos-neta, a.c.; búgola-silva, f.; almeida-scabbia, r.j.; yang, a.m.k.s.n.2008",21377/55779
"mollinedia schottianafarias, r.6902002",18804/53206
"myrceugenia myrcioidessavassi, a.p.g.; silva, f.d.; campos, l.m.; duarte, a.r.2602002",21429/55700
"myrceugenia myrcioidesshirasuna, r.t.; suzuki, r.15812008",21380/55996
"myrceugenia myrcioidessilva, e.l.; moreira, b.a.; leal, c.d.2041996",21521/55998
"myrceugenia myrcioidessilveira, h.s.n.1961",21769/56013/21768/55909
"myrceugenia myrcioidessobral, m.72151992",21635/21636/55770/55771
"myrceugenia myrcioidessobral, m.; gianotti, a.72601992",21637/55982
"myrceugenia myrcioidessouza, f.m.; duarte, a.r.; sampaio, d.; bernhsrdt, r.; rodrigues, r.r.; souza, v.c.; tamashiro, t.y.; gandolfi, s.; oliveira, a.a.; souza, j.p.; ivanauskas, n.m.; furlan, e.222001",21458/55856
"myrceugenia myrcioidessouza, f.m.; sampaio, d.; duarte, a.r.; bernhardt, r.2222001",21455/55698
"myrceugenia myrcioidessouza, v.c.801988",21711/55636
"myrceugenia myrcioidessouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.29344na",21799/55572
"myrceugenia myrcioidessouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.29399na",21798/55608
"myrceugenia myrcioidessouza, v.c.30197na",21789/55749/21793
"myrceugenia myrcioidesstefani, e.j.f.; belinello, r.; galvão, j.2922011",21370/55718
"myrceugenia myrcioidesbarreto, t.e.452013",21352/55894
"myrceugenia myrcioidestamashiro, j.y.9051995",21569/55637/21563/55763/21564/55800/21568/55928
"myrceugenia myrcioidestamashiro, j.y.; ivanauskas, n.m.; souza, j.p.; miyagi, p.h.; belinello, r.; fernandes, g.d.9051995",21561/55727
"myrceugenia myrcioideszipparro, v.b.3181994",21591/55905/21599/55582/21592/55740
"myrceugenia myrcioidessouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.30197na",21786/55890
"myrceugenia myrcioidessouza, v.c.; p.h.miyagi, j.p.s.y.n.73611994",21610/55748
"myrceugenia myrcioideszipparro, v.b.18602000",21464/55744
"myrceugenia myrcioideszipparro, v.b.20272000",21487/55743
"myrceugenia myrcioideszipparro, v.b.19302000",21468/56023
"myrceugenia myrcioideszipparro, v.b.19472000",21473/56022
"myrceugenia myrcioideszipparro, v.b.saibadela3181994",21595/56014
"myrceugenia pilotanthaaffonso, p.; mayworm, m.a.s.; reis, b.d.4391999",21807/56050
"myrceugenia pilotanthaduarte, a.r.540na",21841/56038
"myrceugenia pilotanthagehrt, a.s.n.1919",21833/21834/56049/56066
"myrceugenia pilotanthagehrt, a.s.n.na",21837/56059
"myrceugenia pilotanthahashimoto, g.169431951",21832/56070
"myrceugenia pilotanthahoehne, f.c.s.n.1919",21835/56067
"myrceugenia pilotanthamattos, j.r.s.n.1961",21828/56047/21829/56071
"myrceugenia pilotanthalandrum, l.r.s.n.1977",21826/56046
"myrceugenia pilotanthalima, r.a.f.468na",21843/56034
"myrceugenia pilotanthamattos, j.r.105681960",21831/56068
"myrceugenia pilotanthamattos, j.r.105691960",21830/56069
"myrceugenia pilotanthamattos, j.r.10568na",21836/56057
"myrceugenia pilotanthamattos, j.r.10569na",21838
"myrceugenia pilotanthamattos, j.10569na",56058
"myrceugenia pilotanthamazzitelli, s.m.12991964",21827/56060
"myrceugenia pilotanthagarcia, r.j.f.14231997",21808/56053
"myrceugenia pilotanthasampaio, l.c.q.m.p.1501999",21805/56048/21806/56072
"myrceugenia pilotanthapaulo, s.; andre, s.3046na",21839/56044
"myrceugenia pilotanthasilva, a.f.15891987",21824/56039
"myrceugenia pilotanthasouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.30196na",21840/56035
"myrceugenia pilotanthasouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.30197na",21842/56036
"myrceugenia reitziibarbosa, e.; jm silva, j.v.9452004",21854/56079
"myrceugenia reitziibarbosa, e.l.9452004",21855/56087
"myrceugenia reitziihatschbach, g.468251983",21873/56081
"myrceugenia reitziizipparro, v.b.1579na",21874/56085
"myrceugenia reitziizipparro, v.b.16441997",21863/56086
"myrceugenia reitziizipparro, v.b.saibadela11991995",21864/56101
"myrceugenia reitziizipparro, v.b.saibadela7791994",21870/56102
"myrceugenia rufescensbrade, a.c.74071913",21948/56124/21949/56176
"myrceugenia rufescensbrade, a.c.212901953",21917/56121/21916
"myrceugenia rufescensusteri, a.s.n.1906",21952/56120/21953/56177
"myrceugenia rufescenspickel, b.53741941",21937/56122
"myrceugenia rufescensbarbosa, a.a.a.4441991",21901/56148
"myrceugenia rufescensbarretto, e.h.p.; granato, l.; carvalho, g.s.6122015",21881/56147
"myrceugenia rufescensbernacci, l.c.30082001",21889/56127/21890/56170
"myrceugenia rufescensbernacci, l.c.; árbocz, g.f.iac410272001",21888/56108
"myrceugenia rufescensbernacci, l.c.; durigan, g.iac403752001",21892/56109
"myrceugenia rufescensbrade, a.c.7407na",21957/56112
"myrceugenia rufescenscatharino, e.l.m.23111998",21898/56172
"myrceugenia rufescenscustodio filho, a.384/971997",21899/56168
"myrceugenia rufescenspickel, b.s.n.1941",21935/56149
"myrceugenia rufescenslucas, e.j.; f.f.mazine, n.a.b.p.c.b.f.v.s.j.p.m.s.c.s.t.g.l.4692006",21886/56106
"myrceugenia rufescenshoehne, f.c.s.n.1918",21946/56123/21945/56115/21947/56186
"myrceugenia rufescenshoehne, f.c.s.n.1931",21942/21943/56103/56119/21940/56113/21941/21944/56131/56184
"myrceugenia rufescenshashimoto, g.167881939",21939/56178
"myrceugenia rufescenshashimoto, g.169191939",21938/56183
"myrceugenia rufescenshashimoto, g.169571948",21919/56181
"myrceugenia rufescenshashimoto, g.172261987",21902/56185
"myrceugenia rufescenshoehne, f.c.23271944",21929/56160
"myrceugenia rufescenshoehne, f.c.s.n.1945",21927/56157
"myrceugenia rufescenshoehne, w.14681944",21932/56132
"myrceugenia rufescenshoehne, w.18811945",21924/21923/56129/56156/21925/56107
"myrceugenia rufescenshoehne, w.19291945",21921/56128
"myrceugenia rufescenshoehne, w.19581945",21928/56126
"myrceugenia rufescenshoehne, w.spf123271944",21930/56143
"myrceugenia rufescensbernacci, l.c.; durigan, g.30582001",21891/56135
"myrceugenia rufescensbernacci, l.c.; franco, g.a.d.c.29602000",21895/56136
"myrceugenia rufescensbernacci, l.c.; franco, g.a.d.c.29642000",21896/56137
"myrceugenia rufescensbernacci, l.c.; árbocz, g.f.30082001",21887/56138
"myrceugenia rufescensbernacci, l.c.; franco, g.a.d.c.; quirino, e.; furlan, e.32682001",21893/56139
"myrceugenia rufescensbernacci, l.c.; franco, g.a.d.c.; durigan, g.; árbocz, g.f.; furlan, e.32882000",21894/56140
"myrceugenia rufescenslandrum, l.r.27541977",21905/56182
"myrceugenia rufescensluederwaldt, h.s.n.1907",21951/56180
"myrceugenia rufescensluederwaldt, h.s.n.1913",21950/56179
"myrceugenia rufescensluederwaldt, h.s.n.na",21960/56165
"myrceugenia rufescensmartius, c.f.p.s.n.na",56155
"myrceugenia rufescensmartius, c.f.p.234na",21956/56133
"myrceugenia rufescensmattos, j.r.140271966",21907
"myrceugenia rufescensmattos, j.140271966",56173
"myrceugenia rufescensmattos, j.r.141061966",21906
"myrceugenia rufescensmattos, j.141061966",56174
"myrceugenia rufescensmattos, j.r.8429na",21954/56167
"myrceugenia rufescensmattos, j.r.14027na",21959
"myrceugenia rufescensmattos, j.14027na",56162
"myrceugenia rufescensmattos, j.r.s.n.1965",21909/56166
"myrceugenia rufescensmattos, j.; mattos, n.148881966",21908/56175
"myrceugenia rufescensmattos, n.f.61960",21911/56159
"myrceugenia rufescensmattos, n.f.81960",21912/56114
"myrceugenia rufescensmattos, n.f.241na",21955/56164
"myrceugenia rufescensmattos, n.f.2781960",21913/21914/56110/56163
"myrceugenia rufescensmattos, n.f.s.n.1960",21910/56158
myrceugenia rufescensna14681944,21934/56146
myrceugenia rufescensna18811945,21926/56144
myrceugenia rufescensna19291945,21922/56145
myrceugenia rufescensna53751941,21936/56125
myrceugenia rufescensnas.n.1945,21920/56161
"myrceugenia rufescensmattos; mattos, j.r.81960",21915/56111
"myrceugenia rufescenspastore, j.a.7941997",21900/56169
"myrceugenia rufescensriedel, l.s.n.na",56154
myrceugenia rufescenssem coletors.n.na,21958/56130
"myrceugenia rufescenssimão-bianchini, r.13451999",21897/56171
"myrceugenia rufescenssouza, v.c.; colletta, g.d.425472019",21875/56105
"myrceugenia rufescenshoehne, w.s.n.1944",21933/56104
"myrceugenia rufescenshoehne, w.123271944",21931/56134
"myrceugenia scutellatafaria, j.e.q.; lima, m.e.l.29902012",21964/21965/56196/56201/21967/56189
"myrceugenia scutellatafaria, j.e.q.; lima, m.e.l.30382012",21968/21969/56197/56202/21970/56188
"myrceugenia scutellatafaria, j.e.q.29902012",21966
"myrceugenia scutellatamoraes, p.l.r.6381992",21982/56205
"myrceugenia venosagentry, a.h.; dias, a.c.; franco, g.a.589871987",21991/56211
"myrceugenia venosamattos, j.; mattos, n.150811967",21995/56210/21996/56217
"myrceugenia venosakuhlmann, m.s.n.1942",21997/56215
"myrceugenia venosakawasaki, m.l.; m. kirizawa, m.s.6961995",21989/56209
"myrceugenia venosamattos, j.; mattos, n.15811967",21994/56213
"myrceugenia venosaschwebel, e.s.n.na",21998/56216
"myrcia aethusabarros, f.27421993",24339/58401/24338/58361
"myrcia aethusamarques, c.11997",24323/58326/24321/58344
"myrcia aethusacampos, m.c.r.; belinello, r.; assis, m.a.; guaraldo, a.2852006",24312/58337
"myrcia aethusaemelen, d.a.1488na",24302/58351/58352
"myrcia aethusacatharino, e.l.m.s.n.na",24358/58366
"myrcia aethusagarcia, r.j.f.s.n.1984",24353/58356
"myrcia aethusagarcia, r.j.f.; manzochi, l.h.; rossi, l.; soares, i.4511984",24354/58403
"myrcia aethusagaudichaud-beaupré, c.s.n.1833",24301/58347
"myrcia aethusaleitão filho, h.f.; pagano, s.n.208111988",24351/24289/58329
"myrcia aethusatorezan, j.m.5791997",24326/58365/24325/58375
"myrcia aethusakondrat, h.1632013",24276/58386
"myrcia aethusamourad, b.m.; petri, l.1162015",24274/58389
myrcia aethusana1857na,24311/58359
"myrcia aethusasantos, k.; belinello, r.33182000",24318/58334
"myrcia aethusasantos, k.; belinello, r.38972001",24316/58333
"myrcia aethusascaramuzza, c.a.m.; souza, v.c.s.n.1991",24345/58313
"myrcia aethusaschott, h.w.1027na",58383/58384
"myrcia aethusasellow, f.s.n.na",58385
"myrcia aethusasilva, a.f.s.n.1985",24293/58323
"myrcia aethusasouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.29366na",24359/58320
"myrcia bicolorávila, n.s.3881994",22009/56228/22010/56231
"myrcia bicolorávila, n.s.; neves, l.f.; bellenzani, m.l.r.3881994",22008/56221
"myrcia bicolorgomes jr, j.c.26581965",22011/22012/22013/56224/56226/56227
"myrcia bicolorávila, n.s.; neves, l.f.3881994",22007/56223
"myrcia bicolorpadgurschi, m.c.g.; belinello, r.m12612009",22003/56220
"myrcia bicolorpereira, l.s.; belinello, r.; gomes, j.a.m.a.n11102007",22004/56219
"myrcia bicolorsantos, m.f.; ferreira, t.c.o.8672016",22000/56230
"myrcia curtafranco, g.a.d.c.; custódio filho, a.4371988",25647/59731/25648/59733
"myrcia curtasilva, m.r.15411995",25644
"myrcia curtasilva, m.r.15911995",25643
"myrcia curtasilva, m.r.16231995",25646
"myrcia curtasilva, m.r.16281995",25645
"myrcia diaphanabernacci, l.c.; franco, g.a.d.c.; durigan, g.; catharino, e.l.m.; santos, e.q.; furlan, e.34262000",22014/56234
"myrcia diaphanamarcondes-ferreira, w.150591983",22015/56233
"myrcia dichrophyllaferreira, g.m.p.; garcia, r.j.f.; pimentel, c.m.a.; bellenzani, m.l.r.561996",22021/56263
"myrcia dichrophyllagodoy, s.a.p.; pereira, d.l.; hoch, a.m.3831995",22022/56262
"myrcia dichrophyllahoehne, f.c.s.n.1923",22056/56245
"myrcia dichrophyllakuhlmann, m.42241957",22055/56274/22050/56244
"myrcia dichrophyllakuhlmann, m.42291957",22051/22054/56248/56275/22052/22053/56237/56238
"myrcia dryadicascolari, g.o.; nakasato, m.v.1142007",25649/59740
"myrcia eriocalyxcerqueira, r.m.1382003",22061/56280
"myrcia eriocalyxhopkins, m.191980",22071
"myrcia eriocalyxbarreto, t.e.442013",22058/56281
"myrcia eriopussilva, a.f.; capellari junior, l.14991986",22099
"myrcia eriopusfaria, j.e.q.; lima, m.e.l.30292012",22077/22078/56309/56311
"myrcia eriopusferreira, m.i.; yamaki, h.o.; silva, m.j.; souza, j.s.b.; leandro, d.s.; diniz filho, v.j.512006",22092/56296
"myrcia eriopusfreitas, h.s.3082008",22081/56304
"myrcia eriopusgarcia, r.j.f.; ogata, h.; heineberg, m.; neves, l.f.7321996",22095/56321
"myrcia eriopuskoch, i.264491992",22097
"myrcia eriopusfaria, j.e.q.30292012",22080
"myrcia eriopusfaria junior, j.e.q.30292012",22079/56303
"myrcia eriopuspascalicchio, f.f.742018",56292
"myrcia eriopussellow, f.s.n.na",56313/56314
"myrcia eriopussilva, a.f.; capellari jr, l.14991986",22100/56299
"myrcia eriopussilva, a.f.; capellari jr, l.15321986",22102/56298
"myrcia eriopussilva, a.f.; capellari jr, l.15341986",22101/56297
"myrcia eriopussilva, s.m.p.; matos, v.a.; ferreira, m.i.; cruz, g.c.; lima júnior, e.o.; silva, a.m.1812006",22089/56295
"myrcia eriopussouza, f.m.; duarte, a.r.; sampaio, d.; bernhardt, r.; rodrigues, r.r.1792001",22110/56294
"myrcia eumecephyllasellow, f.s.n.na",56327
"myrcia eumecephyllasouza, v.c.9286na",56325
myrcia ferruginosa?s.n.na,59044
"myrcia ferruginosagrotta, a.s.s.n.1956",58895/58865/58854/58900
"myrcia ferruginosasilva, a.g.; arbex, y.r.112013",59025
"myrcia ferruginosaaguiar, o.t.s.n.1983",25312/58917/25311/59039
"myrcia ferruginosaassis, m.a.s.n.2002",58852
"myrcia ferruginosaassis, m.a.; monteiro, r.16562002",58721
"myrcia ferruginosaassis, m.a.16092002",58910/58884
"myrcia ferruginosapickel, b.9721945",58896
"myrcia ferruginosapickel, b.18871943",25317
"myrcia ferruginosabarreto, k.d.; fernandes, g.d.; vitti, f.x.33281994",58961
"myrcia ferruginosabufo, l.v.b.; sabadim, p.c.109na",58719
"myrcia ferruginosabufo, l.v.b.; sabadim, p.c.1091997",58991
"myrcia ferruginosacasali, m.f.; damasceno, v.f.f.1942008",58992
"myrcia ferruginosacolletta, g.d.; souza, v.c.9722013",25294
"myrcia ferruginosacotrim, m.m.s.n.2007",58707
"myrcia ferruginosacustodio filho, a.14581983",25314/59115/25313/58826
"myrcia ferruginosapickel, d.b.s.n.1945",59014
"myrcia ferruginosadavis, p.h.s.n.1976",58670
"myrcia ferruginosadavis, p.h.; shepherd, g.j.; sakane, m.608681976",58779
"myrcia ferruginosasilva, d.s.; c.a.almeida, s.j.s.r.131985",58771
"myrcia ferruginosadurigan, g.306651992",58813
"myrcia ferruginosasalviani, e.r.; lorenzi, h.15782000",58755
"myrcia ferruginosafarah, f.t.; aguiar, s.; breier, t.b.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.; gandolfi, s.; oliveira, a.a.; souza, j.p.; ivanauskas, n.m.; furlan, e.23072001",25310
"myrcia ferruginosafarah, f.t.; aguiar, s.; breier, t.b.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.23072001",25309/58827
"myrcia ferruginosafreitas, h.s.3062009",58899
"myrcia ferruginosadurigan, g.s.n.2000",59023
"myrcia ferruginosagarcia, l.c.2882008",58688
"myrcia ferruginosagarcia, l.c.2872008",58782
"myrcia ferruginosagottsberger, i.s.; campos, c.j.s.n.1972",58687
"myrcia ferruginosalorenzi, h.62132007",58758
"myrcia ferruginosaleitão filho, h.f.11101970",58927
"myrcia ferruginosahoehne, f.c.s.n.1929",58859
"myrcia ferruginosaivanauskas, n.m.; nave, a.g.51994",58741
"myrcia ferruginosaivanauskas, n.m.2241993",58740
"myrcia ferruginosasilva, j.m.; l.a.ferreira, l.m.a.28241999",58770
"myrcia ferruginosagomes, j.a.m.a.; aquino, c.7472009",58946
"myrcia ferruginosapastore, j.a.; moura, c.12752003",59018/58751
"myrcia ferruginosasilva, j.m.28241999",58867/58918
"myrcia ferruginosajung-mendaçolli, s.l.6211994",59095
"myrcia ferruginosakuhlmann, m.27441951",59046/59087/59051
"myrcia ferruginosakuhlmann, m.s.n.1942",25319/25320/58916/59116/25318/59054
"myrcia ferruginosakuhlmann, m.s.n.1947",58861
"myrcia ferruginosabernacci, l.c.; franco, g.a.d.c.; santos, e.q.; furlan, e.33912001",58938
"myrcia ferruginosalazzaro, l.g.; santos, c.g.152018",59022
"myrcia ferruginosamattos, j.r.s.n.1961",25316/59055
"myrcia ferruginosameira neto, j.a.a.; bernacci, l.c.; grombone-guaratini, m.t.; leitão filho, h.f.; tamashiro, j.y.213561987",58815
"myrcia ferruginosamota, a.l.p.14001992",58767
myrcia ferruginosana292013,58998/58999
myrcia ferruginosana831995,58997
myrcia ferruginosana105na,58990
myrcia ferruginosana161na,58993
myrcia ferruginosana288na,59003
"myrcia ferruginosaneto, m.j.a.a.s.n.1987",58768
"myrcia ferruginosaoliveira, a.a.; gandolfi, s.; batista, f.r.q.; micheletto, f.; liesenfeld, m.v.a.; san-martin, i.; peroni, n.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.36072000",58689
"myrcia ferruginosacielo filho, r.; ivanauskas, n.m.; souza, d.3932005",25301/59038
"myrcia ferruginosarodrigues, r.r.334061995",58866/58898/59059
"myrcia ferruginosariedel, l.s.n.na",59042/59043/59045
"myrcia ferruginosarodrigues, e.h.a.691990",58921
"myrcia ferruginosarodrigues, r.r.s.n.1995",58723
"myrcia ferruginosarozza, a.f.831995",58691
"myrcia ferruginosasantos, k.; belinello, r.37942001",58781
"myrcia ferruginosascaramuzza, c.a.m.; godon, m.398na",58706
"myrcia ferruginosasilva, d.s.; almeida, c.a.; ramos, s.j.s.131985",59092
