especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br
Lychnophora martiana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophora mello-barretoi,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophora phylicifolia,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Lychnophora pohlii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophora ramosissima,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Lychnophora regis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophora reticulata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophora rosmarinifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophora santosii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophora sellowii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophora sericea,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Lychnophora souzae,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Lychnophora syncephala,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophora tomentosa,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Lychnophora villosissima,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophoriopsis candelabrum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophoriopsis damazioi,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lychnophoriopsis hatschbachii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lycianthes rantonnetii,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Lycianthes repens,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Lycium glomeratum,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Lycopodium jussiaei,cncflora_web,NA,NA,NA,NA,NA,EN,NA,NA,NA
Lymania alvimii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lymania azurea,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lymania brachycaulis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lymania corallina,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lymania globosa,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Lymania spiculata,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Lyroglossa grisebachii,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Lysimachia barbata,sima-Portaria 443/2014,EN,NA,EN,NA,NA,NA,NA,NA,EN
Lysimachia buxifolia,sima-SP_oficial-mpoSP-Portaria 443/2014,EN,NA,EN,EN,NA,NA,NA,EN,EN
Lytocaryum insigne,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Lytoneuron crenulans,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mabea piriri,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Machaerina ensifolia,sima-cncflora_web,NA,NT,NA,NA,NA,NT,NA,NA,NA
Machaerium acutifolium,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Machaerium amplum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Machaerium brasiliense,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Machaerium cantarellianum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Machaerium hirtum,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Machaerium incorruptibile,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Machaerium nyctitans,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Machaerium obovatum,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Machaerium paraguariense,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA
Machaerium pilosum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Machaerium scleroxylon,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Machaerium villosum,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,VU,NA,NA
Machaonia acuminata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Machaonia brasiliensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Maclura brasiliensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Maclura tinctoria,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Macradenia multiflora,SP_oficial,NA,NA,NA,VU,NA,NA,NA,NA,NA
Macradenia paraensis,sima,NA,LC,VU,NA,NA,NA,NA,NA,NA
Macradenia paulensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Macrocarpaea glaziovii,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Macroditassa adnata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Macroditassa marianae,sima-SP_oficial-cncflora_web-Portaria 443/2014,CR,NA,EN,EN,NA,CR,NA,NA,CR
Macrolobium cidii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Macrolobium cowanii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Macrolobium froesii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Macrolobium palustre,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Macropeplus dentatus,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,NT,NT,NA,NA
Macropeplus friburgensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Macroptilium bracteatum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Macrosamanea macrocalyx,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Macrosamanea prancei,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Macroscepis aurea,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Macroscepis magnifica,sima-SP_oficial-cncflora_web-mpoSP,NA,DD,EX,EX,NA,DD,NA,EX,NA
Macrotorus utriculatus,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Magdalenaea limae,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Magnolia irwiniana,UICN_API,NA,NA,NA,NA,NA,NA,EN,NA,NA
Magnolia ovata,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Magnolia paranaensis,UICN_API,NA,NA,NA,NA,NA,NA,DD,NA,NA
Magnolia sellowiana,UICN_API,NA,NA,NA,NA,NA,NA,DD,NA,NA
Magonia pubescens,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Malachra radiata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Malaxis cogniauxiana,sima-SP_oficial,NA,NT,EX,EX,NA,NA,NA,NA,NA
Malaxis excavata,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Malaxis jaraguae,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Malaxis parthonii,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Malmea obovata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Malouetia amplexicaulis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Malouetia cestroides,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Malvastrum americanum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Mandevilla coccinea,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Mandevilla fragrans,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Mandevilla hirsuta,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Mandevilla sellowii,sima-SP_oficial-cncflora_web,NA,NT,EX,EX,NA,NT,NA,NA,NA
Mandevilla venulosa,sima-SP_oficial-cncflora_web,NA,NT,VU,VU,NA,NT,NA,NA,NA
Mandirola multiflora,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Manettia campanulacea,sima-SP_oficial-cncflora_web-Portaria 443/2014,CR,NA,CR,CR,NA,CR,NA,NA,CR
Manettia pauciflora,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,VU,VU,NA,EN,NA,NA,EN
Manettia tweedieana,sima-SP_oficial-cncflora_web,NA,NT,VU,VU,NA,NT,NA,NA,NA
Manihot anomala,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Manihot caerulescens,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Manihot carthagenensis,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Manihot grahamii,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Manihot pilosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Manihot procumbens,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU
Manihot tripartita,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Manilkara cavalcantei,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Manilkara dardanoi,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Manilkara decrescens,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Manilkara elata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Manilkara excelsa,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Manilkara maxima,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Manilkara multifida,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Manilkara subsericea,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/cd,NA,NA
Mapinguari desvauxianus,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Maprounea guianensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Maranta subterranea,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Marcetia alba,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Marcetia bahiana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Marcetia bracteolaris,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Marcetia formosa,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Marcetia hatschbachii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Marcetia luetzelburgii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Marcetia lychnophoroides,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Marcetia nummularia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Marcetia oxycoccoides,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Marcetia semiriana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Marcetia shepherdii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Marcetia viscida,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Marcgravia polyantha,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Marchantia berteroana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Margaritaria nobilis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Margyricarpus pinnatus,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Marlierea acuminatissima,cncflora_ckan,NA,NA,NA,NA,NA,DD,NA,NA,NA
Marlierea clausseniana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Marlierea gardneriana,cncflora_ckan,NA,NA,NA,NA,NA,DD,NA,NA,NA
Marlierea krapovickae,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Marlierea lealcostae,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Marlierea regeliana,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,VU,VU,NA,LC,NA,VU,NA
Marlierea reitzii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Marlierea skortzoviana,sima-SP_oficial-CR_Lac-cncflora_web-Portaria 443/2014,CR,NA,CR,CR,CR,CR,NA,NA,CR
Marlierea suaveolens,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Marlierea subacuminata,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Marsdenia altissima,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Marsdenia fontellana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Marsdenia otoniensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Marsdenia queirozii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Martianthus sancti-gabrielii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mascagnia divaricata,sima-SP_oficial-mpoSP,NA,NA,VU,VU,NA,NA,NA,VU,NA
Masdevallia discoidea,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Matayba cristae,cncflora_ckan,NA,NA,NA,NA,NA,VU,NA,NA,NA
Matayba elaeagnoides,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Matayba guianensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Matayba intermedia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Matayba juglandifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Matayba leucodictya,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Matayba marginata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Matayba obovata,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Matelea bahiensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Matelea glaziovii,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,VU,VU
Matelea hatschbachii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Matelea marcoassisii,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Matelea santosii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mauritia flexuosa,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Maytenus acanthophylla,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Maytenus aquifolia,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Maytenus basidentata,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Maytenus brasiliensis,SP_oficial-cncflora_web,NA,NA,NA,CR,NA,LC,NA,NA,NA
Maytenus floribunda,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Maytenus glaucescens,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Maytenus ilicifolia,sima-SP_oficial-mpoSP,NA,NA,VU,VU,NA,NA,NA,VU,NA
Maytenus quadrangulata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Maytenus robusta,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Maytenus rupestris,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Medusantha carvalhoi,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Medusantha eriophylla var. coriifolia,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Megalastrum wacketii,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Melanopsidium nigrum,sima-SP_oficial-Portaria 443/2014,VU,NA,VU,VU,NA,NA,NA,NA,VU
Melanoxylon brauna,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,EW,EW,NA,VU,NA,NA,VU
Melanthera latifolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Melasma rhinanthoides,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EX,EX,NA,LC,NA,EX,NA
Melica arzivencoi,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,CR,CR,NA,EN,NA,NA,EN
Melicoccus espiritosantensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Meliosma chartacea,cncflora_ckan,NA,NA,NA,NA,NA,VU,NA,NA,NA
Meliosma itatiaiae,cncflora_ckan,NA,NA,NA,NA,NA,VU,NA,NA,NA
Meliosma sellowii,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Melocactus azureus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Melocactus conoideus,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Melocactus deinacanthus,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Melocactus ferreophilus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Melocactus glaucescens,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Melocactus lanssensianus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Melocactus pachyacanthus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Melocactus paucispinus,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Melocactus violaceus,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Melochia pyramidata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Melpomene peruviana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Mentha spicata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mentha suaveolens,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Meriania callophylla,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Meriania claussenii,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Merianthera burlemarxii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Merianthera pulchra,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Merostachys abadiana,sima-SP_oficial-cncflora_web-Portaria 443/2014,CR,NA,CR,CR,NA,CR,NA,NA,CR
Merostachys bradei,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Merostachys brevigluma,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Merostachys burmanii,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014,EN,NA,EN,EN,NA,EN,NA,EN,EN
Merostachys caucaiana,sima-SP_oficial-CR_Lac-cncflora_web-Portaria 443/2014,CR,NA,CR,CR,CR,CR,NA,NA,CR
Merostachys fistulosa,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Merostachys kleinii,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Merostachys neesii,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Merostachys polyantha,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Merostachys scandens,sima-SP_oficial-CR_Lac-cncflora_web-mpoSP-Portaria 443/2014,CR,NA,CR,CR,CR,CR,NA,CR,CR
Merostachys skvortzovii,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EN,EN,NA,LC,NA,EN,NA
Merremia repens,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mesadenella atroviridis,sima-SP_oficial-cncflora_web,NA,NT,EX,EX,NA,NT,NA,NA,NA
Mesosetum ferrugineum,sima-SP_oficial-cncflora_web-UICN_API-mpoSP,NA,LC,EN,EN,NA,LC,LC,EN,NA
Metastelma giuliettianum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Metastelma harleyi,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Metrodorea maracasana,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Metrodorea nigra,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Metrodorea stipularis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Metzgeria brasiliensis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Metzgeria hegewaldii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Metzgeria liebmanniana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Metzgeria psilocraspeda,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Metzgeria subaneura,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Mezia araujoi,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mezilaurus itauba,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Mezilaurus navalium,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Miconia affinis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia albicans,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia altissima,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Miconia angelana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Miconia argyraea,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,DD,DD,NA,NA
Miconia atlantica,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Miconia brasiliensis,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Miconia brunnea,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Miconia budlejoides,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia cabucu,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia calvescens,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia capixaba,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Miconia carvalhoana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Miconia castaneiflora,cncflora_ckan,NA,NA,NA,NA,NA,VU,NA,NA,NA
Miconia centrodesma,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia chamissois,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia chartacea,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia cinnamomifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia cipoensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Miconia corallina,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia cubatanensis,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Miconia discolor,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia dodecandra,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia doriana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Miconia eichleri,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Miconia elegans,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia fasciculata,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Miconia flammea,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia formosa,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Miconia glazioviana,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Miconia goldenbergiana,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,NT,NT,NA,NA
Miconia holosericea,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia hyemalis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia ibaguensis,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Miconia inconspicua,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia johnwurdackiana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Miconia jucunda,sima-UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia kollmannii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Miconia lagunensis,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,EN,EN,NA,NA
Miconia latecrenata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia lepidota,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia leucocarpa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia ligustroides,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia longicuspis,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Miconia lymanii,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia macrothyrsa,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Miconia mendoncae,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Miconia michelangeliana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Miconia minutiflora,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia nervosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia paniculata,sima-UICN_API,NA,LC,NA,NA,NA,NA,LC,NA,NA
Miconia paucidens,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Miconia penduliflora,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Miconia pepericarpa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia picinguabensis,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,EN,NA,EN,EN,NA,CR,CR,NA,EN
Miconia polyandra,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Miconia prasina,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia racemifera,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia ramboi,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Miconia robusta,sima,NA,LC,EN,NA,NA,NA,NA,NA,NA
