especie,cat_ameaca_br_old,cat_ameaca_cncflora_old,cat_ameaca_sp_old,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_br,cat_ameaca_cncfloraweb
Leandra calvescens,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra catharinensis,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Leandra coriacea,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra dispar,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra echinata,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Leandra eichleri,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra hatschbachii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Leandra hermogenesii,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra humilis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Leandra involucrata,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Leandra itatiaiae,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra lancifolia,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Leandra lapae,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra limbata,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Leandra linearifolia,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Leandra longistyla,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Leandra mattosii,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Leandra neglecta,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra pallida,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra paulina,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra pauloensis,s.i.,s.i.,s.i.,EX,s.i.,s.i.,s.i.
Leandra quinquenodis,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Leandra regnellii,s.i.,NE,EX,s.i.,s.i.,s.i.,s.i.
Leandra riedeliana,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Leandra salicina,s.i.,NT,VU,s.i.,s.i.,s.i.,NT
Leandra sparsisetulosa,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Leandra strigilliflora,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra tristis,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Leandra uliginosa,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra umbellata,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Leandra vesiculosa,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Leandra viridiflava,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Leandra xantholasia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lecosia oppositifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Lecythis barnebyi,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Lecythis schwackei,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Leersia ligularis,VU,s.i.,CR,CR,s.i.,VU,VU
Leiothrix echinocephala,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Leiothrix gomesii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Leiothrix linearis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Leiothrix schlechtendalii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Lellingeria brasiliensis,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lellingeria itatimensis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Lellingeria tamandarei,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lepanthopsis densiflora,s.i.,DD,EX,EX,s.i.,s.i.,DD
Lepanthopsis floripecten,s.i.,LC,VU,VU,s.i.,s.i.,LC
Lepidagathis meridionalis,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Lepidaploa almasensis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Lepidaploa gnaphalioides,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lepidaploa lilacina,s.i.,NE,s.i.,s.i.,s.i.,s.i.,s.i.
Lepidaploa luetzelburgii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Lepidaploa pseudaurea,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lepidaploa spixiana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Leptodontium wallisii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Leptohyptis pinheiroi,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Leptostelma catharinense,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Leptotes bicolor,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Lessingianthu adenophyllus,EN,EN,s.i.,s.i.,s.i.,s.i.,s.i.
Lessingianthus asteriflorus,EN,s.i.,EN,EN,s.i.,EN,EN
Lessingianthus constrictus,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Lessingianthus eitenii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lessingianthus exiguus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lessingianthus irwinii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lessingianthus niederleinii,s.i.,NT,s.i.,s.i.,s.i.,s.i.,NT
Lessingianthus pumillus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lessingianthus reitzianus,VU,s.i.,EN,EN,s.i.,VU,VU
Lessingianthus rosmarinifolius,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lessingianthus souzae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lessingianthus stoechas,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lessingianthus subcarduoides,EN,s.i.,EX,EX,s.i.,EN,EN
Lessingianthus venosissimus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lessingianthus westermanii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lessingianthus zuccarinianus,VU,s.i.,VU,VU,s.i.,VU,VU
Leucochloron foederale,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Leucochloron minarum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Licania anneae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Licania arianeae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Licania bahiensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania belemii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Licania bellingtonii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Licania conferruminata,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Licania gardneri,s.i.,LC,EX,EX,s.i.,s.i.,LC
Licania glazioviana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania indurata,EN,s.i.,EX,EX,s.i.,EN,EN
Licania miltonii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania nelsonii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania santosii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania teixeirae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania tomentosa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lilaeopsis brasiliensis,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Limnocharis laforesti,s.i.,LC,VU,s.i.,s.i.,s.i.,LC
Limnocharis laforestii,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Linum carneum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Linum erigeroides,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Linum littorale,s.i.,LC,EN,EN,s.i.,s.i.,LC
Linum smithii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lippia alnifolia,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lippia bradei,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lippia bromleyana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lippia campestris,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lippia elliptica,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lippia insignis,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lippia morii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lippia nana,s.i.,NA,s.i.,s.i.,s.i.,s.i.,EN
Lippia pumila,EN,s.i.,s.i.,s.i.,s.i.,EN,s.i.
Lippia pusilla,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Lippia rhodocnemis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lithachne horizontalis,EN,s.i.,EX,EX,s.i.,EN,EN
Lithobium cordatum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lobelia glazioviana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lobelia hederacea,s.i.,NT,EX,EX,s.i.,s.i.,NT
Lobelia hilaireana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lobelia langeana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lobelia nummularioides,s.i.,LC,EX,EX,s.i.,s.i.,LC
Lobelia santos-limae,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Lobelia xalapensis,s.i.,LC,EX,EX,s.i.,s.i.,LC
Loefgrenianthus blanche-amesiae,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Lomatozona artemisiifolia,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lophanthera lactescens,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lophiaris schwambachiae,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lophophytum pyramidale,s.i.,NA,s.i.,s.i.,s.i.,s.i.,LC
Loudetia flammida,s.i.,LC,CR,CR,s.i.,s.i.,LC
Ludwigia anastomosans,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Luehea conwentizii,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Luehea conwentzii,s.i.,LC,VU,s.i.,s.i.,s.i.,LC
Lulia nervosa,EN,s.i.,EX,EX,s.i.,EN,EN
Lupinus coriaceus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lupinus decurrens,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lupinus gibertianus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lupinus laevigatus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lupinus linearis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Lupinus ovalifolius,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Lupinus parvifolius,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Lupinus prouvensalanus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Luxemburgia angustifolia,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Luxemburgia corymbosa,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Luxemburgia flexuosa,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Luziola bahiensis,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Luziola brasiliensis,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lychnophora albertinioides,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Lychnophora blanchetii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Lychnophora brunioides,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Lychnophora crispa,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora diamantinana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora gardneri,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora granmogolensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora humillima,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Lychnophora markgravii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora martiana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora mello-barretoi,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora phylicifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Lychnophora pohlii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora ramosissima,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lychnophora regis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora reticulata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora rosmarinifolia,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora santosii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora sellowii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora sericea,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Lychnophora souzae,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Lychnophora syncephala,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophora tomentosa,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lychnophora villosissima,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophoriopsis candelabrum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN|EN
Lychnophoriopsis damazioi,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lychnophoriopsis hatschbachii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lycianthes rantonnetii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Lycianthes repens,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lycium glomeratum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Lymania alvimii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lymania azurea,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lymania brachycaulis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lymania corallina,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lymania globosa,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lymania spiculata,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Lyroglossa grisebachii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Lysimachia barbata,EN,s.i.,EN,s.i.,s.i.,EN,EN
Lysimachia buxifolia,EN,s.i.,EN,EN,s.i.,EN,EN
Lytocaryum insigne,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lytoneuron crenulans,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Machaerina ensifolia,s.i.,NT,s.i.,s.i.,s.i.,s.i.,NT
Machaerium obovatum,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Machaerium paraguariense,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Maclura brasiliensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Macradenia multiflora,s.i.,s.i.,s.i.,VU,s.i.,s.i.,LC
Macradenia paraensis,s.i.,LC,VU,s.i.,s.i.,s.i.,LC
Macradenia paulensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Macroditassa marianae,CR,s.i.,EN,EN,s.i.,CR,CR
Macrolobium cidii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Macrolobium cowanii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Macrolobium froesii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Macrolobium palustre,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Macropeplus friburgensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Macrosamanea macrocalyx,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Macrosamanea prancei,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Macroscepis aurea,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Macroscepis magnifica,s.i.,DD,EX,EX,s.i.,s.i.,DD
Magdalenaea limae,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Malaxis cogniauxiana,s.i.,NT,EX,EX,s.i.,s.i.,NT
Malaxis excavata,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Malaxis jaraguae,VU,s.i.,VU,VU,s.i.,VU,VU
Malaxis parthonii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Malmea obovata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Malouetia amplexicaulis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Malouetia cestroides,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Mandevilla coccinea,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Mandevilla fragrans,s.i.,LC,EX,EX,s.i.,s.i.,LC
Mandevilla hirsuta,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Mandevilla sellowii,s.i.,NT,EX,EX,s.i.,s.i.,NT
Mandevilla venulosa,s.i.,NT,VU,VU,s.i.,s.i.,NT
Mandirola multiflora,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Manettia campanulacea,CR,s.i.,CR,CR,s.i.,CR,CR
Manettia pauciflora,EN,s.i.,VU,VU,s.i.,EN,EN
Manettia tweedieana,s.i.,NT,VU,VU,s.i.,s.i.,NT
Manihot carthagenensis,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Manihot procumbens,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Manilkara cavalcantei,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Manilkara dardanoi,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Manilkara decrescens,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Manilkara elata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD|LC
Manilkara excelsa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Manilkara maxima,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Manilkara multifida,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Mapinguari desvauxianus,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Maranta subterranea,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Marcetia alba,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Marcetia bahiana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Marcetia bracteolaris,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Marcetia formosa,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Marcetia hatschbachii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Marcetia luetzelburgii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Marcetia lychnophoroides,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Marcetia nummularia,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Marcetia oxycoccoides,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Marcetia semiriana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Marcetia shepherdii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Marcetia viscida,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Marchantia berteroana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Margyricarpus pinnatus,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Marlierea krapovickae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Marlierea lealcostae,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Marlierea regeliana,s.i.,LC,VU,VU,s.i.,s.i.,LC
Marlierea skortzoviana,CR,s.i.,CR,CR,CR,CR,CR
Marsdenia fontellana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Marsdenia otoniensis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Marsdenia queirozii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Martianthus sancti-gabrielii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Mascagnia divaricata,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Masdevallia discoidea,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Matayba leucodictya,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Matelea bahiensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Matelea glaziovii,VU,s.i.,VU,VU,s.i.,VU,VU
Matelea hatschbachii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Matelea marcoassisii,VU,s.i.,VU,VU,s.i.,VU,VU
Matelea santosii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Mauritia flexuosa,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Maytenus acanthophylla,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Maytenus basidentata,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Maytenus brasiliensis,s.i.,s.i.,s.i.,CR,s.i.,s.i.,LC
Maytenus ilicifolia,s.i.,NA,VU,VU,s.i.,s.i.,LC
Maytenus quadrangulata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Maytenus rupestris,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Medusantha carvalhoi,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Medusantha eriophylla,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Megalastrum wacketii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Melanopsidium nigrum,VU,s.i.,VU,VU,s.i.,VU,VU
Melanoxylon brauna,VU,s.i.,EW,EW,s.i.,VU,VU
Melasma rhinanthoides,s.i.,LC,EX,EX,s.i.,s.i.,LC
Melica arzivencoi,EN,s.i.,CR,CR,s.i.,EN,EN
Melicoccus espiritosantensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Melocactus azureus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Melocactus conoideus,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Melocactus deinacanthus,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Melocactus ferreophilus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Melocactus glaucescens,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Melocactus lanssensianus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Melocactus pachyacanthus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Melocactus paucispinus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Melocactus violaceus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Meriania callophylla,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Merianthera burlemarxii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Merianthera pulchra,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Merostachys abadiana,CR,s.i.,CR,CR,s.i.,CR,CR
Merostachys bradei,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Merostachys brevigluma,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Merostachys burmanii,EN,s.i.,EN,EN,s.i.,EN,EN
Merostachys caucaiana,CR,s.i.,CR,CR,CR,CR,CR
Merostachys fistulosa,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Merostachys kleinii,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Merostachys neesii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Merostachys polyantha,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Merostachys scandens,CR,s.i.,CR,CR,CR,CR,CR
Merostachys skvortzovii,s.i.,LC,EN,EN,s.i.,s.i.,LC
Merremia repens,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Mesadenella atroviridis,s.i.,NT,EX,EX,s.i.,s.i.,NT
Mesosetum ferrugineum,s.i.,LC,EN,EN,s.i.,s.i.,LC
Metastelma giuliettianum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Metastelma harleyi,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Metrodorea maracasana,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Metzgeria hegewaldii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Metzgeria subaneura,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Mezia araujoi,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Mezilaurus itauba,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Mezilaurus navalium,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Miconia angelana,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Miconia capixaba,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Miconia carvalhoana,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Miconia cipoensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Miconia eichleri,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Miconia fasciculata,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Miconia glazioviana,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Miconia johnwurdackiana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Miconia jucunda,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia kollmannii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia macrothyrsa,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Miconia mendoncae,VU,s.i.,VU,VU,s.i.,VU,VU
Miconia michelangeliana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia paniculata,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Miconia paucidens,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Miconia penduliflora,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Miconia picinguabensis,EN,s.i.,EN,EN,s.i.,EN,EN
Miconia polyandra,s.i.,LC,VU,VU,s.i.,s.i.,LC
Miconia ramboi,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Miconia robusta,s.i.,LC,EN,s.i.,s.i.,s.i.,LC
Miconia robustissima,s.i.,s.i.,s.i.,EN,s.i.,s.i.,LC
Miconia sclerophylla,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Miconia serrulata,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Miconia setosociliata,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Miconia shepherdii,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Miconia suberosa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia tentaculifera,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Miconia urophylla,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Miconia warmingiana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia weddellii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Micranthocereus albicephalus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Micranthocereus auriazureus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Micranthocereus dolichospermaticus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Micranthocereus polyanthus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Micranthocereus streckeri,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Micranthocereus violaciflorus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Microlicia canastrensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Microlicia cardiophora,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Microlicia cuspidifolia,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Microlicia elegans,s.i.,DD,s.i.,s.i.,s.i.,s.i.,EN|DD
Microlicia flava,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Microlicia glazioviana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Microlicia humilis,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
