especie,cat_ameaca_br_old,cat_ameaca_cncflora_old,cat_ameaca_sp_old,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncfloraweb,cat_ameaca_br
Lessingianthus elegans,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Lessingianthus exiguus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lessingianthus grandiflorus,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Lessingianthus irwinii,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Lessingianthus niederleinii,s.i.,NT,s.i.,s.i.,s.i.,s.i.,s.i.
Lessingianthus pumillus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lessingianthus reitzianus,VU,s.i.,EN,EN,s.i.,s.i.,VU
Lessingianthus rosmarinifolius,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lessingianthus souzae,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lessingianthus stoechas,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Lessingianthus subcarduoides,EN,s.i.,EX,EX,s.i.,s.i.,EN
Lessingianthus venosissimus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lessingianthus westermanii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lessingianthus zuccarinianus,VU,s.i.,VU,VU,s.i.,VU,VU
Leucochloron foederale,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Leucochloron minarum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Licania anneae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania arianeae,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Licania bahiensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania belemii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Licania bellingtonii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania conferruminata,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Licania gardneri,s.i.,LC,EX,EX,s.i.,LC,s.i.
Licania glazioviana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania indurata,EN,s.i.,EX,EX,s.i.,EN,EN
Licania miltonii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania nelsonii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania santosii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania teixeirae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Licania tomentosa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lilaeopsis brasiliensis,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Limnocharis laforesti,s.i.,LC,VU,s.i.,s.i.,s.i.,s.i.
Limnocharis laforestii,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Linum carneum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Linum erigeroides,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Linum littorale,s.i.,LC,EN,EN,s.i.,LC,s.i.
Linum smithii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Liparis vexillifera,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Lippia alnifolia,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Lippia bradei,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Lippia bromleyana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lippia campestris,EN,s.i.,s.i.,s.i.,s.i.,EN,s.i.
Lippia duartei,s.i.,s.i.,s.i.,s.i.,s.i.,CR,s.i.
Lippia elliptica,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Lippia insignis,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Lippia morii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lippia nana,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Lippia pumila,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lippia pusilla,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Lippia rhodocnemis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lithachne horizontalis,EN,s.i.,EX,EX,s.i.,EN,EN
Lithobium cordatum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lobelia anceps,s.i.,s.i.,s.i.,s.i.,s.i.,EN,s.i.
Lobelia glazioviana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lobelia hederacea,s.i.,NT,EX,EX,s.i.,NT,s.i.
Lobelia hilaireana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lobelia langeana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lobelia nummularioides,s.i.,LC,EX,EX,s.i.,LC,s.i.
Lobelia santos-limae,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Lobelia xalapensis,s.i.,LC,EX,EX,s.i.,LC,s.i.
Loefgrenianthus blanche-amesiae,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Loefgrenianthus blanche-amesii,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Lomatozona artemisiifolia,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lonchocarpus muehlbergianus,s.i.,s.i.,s.i.,s.i.,s.i.,DD,s.i.
Lophanthera lactescens,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lophiaris schwambachiae,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Lophophytum leandri,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Lophophytum pyramidale,s.i.,NA,s.i.,s.i.,s.i.,LC,s.i.
Loudetia flammida,s.i.,LC,CR,CR,s.i.,LC,s.i.
Ludwigia anastomosans,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Luehea candicans,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Luehea conwentizii,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Luehea conwentzii,s.i.,LC,VU,s.i.,s.i.,LC,s.i.
Luetzelburgia guaissara,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Lulia nervosa,EN,s.i.,EX,EX,s.i.,EN,EN
Lundia damazii,s.i.,s.i.,s.i.,s.i.,s.i.,VU,s.i.
Lundia damazioi,s.i.,s.i.,s.i.,s.i.,s.i.,VU,s.i.
Lupinus coriaceus,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Lupinus decurrens,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lupinus gibertianus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lupinus laevigatus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lupinus linearis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lupinus ovalifolius,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lupinus parvifolius,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lupinus prouvensalanus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Luxemburgia angustifolia,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Luxemburgia corymbosa,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Luxemburgia flexuosa,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Luziola bahiensis,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Luziola brasiliensis,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Lychnophora albertinioides,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Lychnophora blanchetii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lychnophora brunioides,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Lychnophora crispa,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora diamantinana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora ericoides,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Lychnophora gardneri,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora granmogolensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora humillima,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Lychnophora markgravii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora martiana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora mello-barretoi,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora phylicifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Lychnophora pohlii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora ramosissima,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Lychnophora regis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora reticulata,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora rosmarinifolia,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora santosii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora sellowii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora sericea,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Lychnophora souzae,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Lychnophora syncephala,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophora tomentosa,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Lychnophora villosissima,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophoriopsis candelabrum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophoriopsis damazioi,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lychnophoriopsis hatschbachii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lycianthes rantonnetii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Lycianthes repens,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Lycium glomeratum,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Lycopodium jussiaei,s.i.,s.i.,s.i.,s.i.,s.i.,EN,s.i.
Lymania alvimii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lymania azurea,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lymania brachycaulis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lymania corallina,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lymania globosa,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Lymania spiculata,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Lyroglossa grisebachii,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Lysimachia barbata,EN,s.i.,EN,s.i.,s.i.,EN,EN
Lysimachia buxifolia,EN,s.i.,EN,EN,s.i.,EN,EN
Lytocaryum insigne,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Lytoneuron crenulans,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Lytoneuron itatiaiense,s.i.,s.i.,s.i.,s.i.,s.i.,EN,s.i.
Lytoneuron lomariaceum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Machaerina ensifolia,s.i.,NT,s.i.,s.i.,s.i.,NT,s.i.
Machaerium nyctitans,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Machaerium obovatum,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Machaerium paraguariense,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Machaerium villosum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maclura brasiliensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Macradenia multiflora,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Macradenia paraensis,s.i.,LC,VU,s.i.,s.i.,s.i.,s.i.
Macradenia paulensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Macroditassa adnata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Macroditassa marianae,CR,s.i.,EN,EN,s.i.,CR,CR
Macrolobium cidii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Macrolobium cowanii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Macrolobium froesii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Macrolobium palustre,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Macropeplus friburgensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Macrosamanea macrocalyx,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Macrosamanea prancei,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Macroscepis aurea,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Macroscepis magnifica,s.i.,DD,EX,EX,s.i.,DD,s.i.
Macrotorus utriculatus,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Magdalenaea limae,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Magnolia ovata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Magonia pubescens,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Malachra radiata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Malaxis cogniauxiana,s.i.,NT,EX,EX,s.i.,s.i.,s.i.
Malaxis excavata,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Malaxis jaraguae,VU,s.i.,VU,VU,s.i.,VU,VU
Malaxis parthonii,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Malmea obovata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Malouetia amplexicaulis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Malouetia cestroides,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Malvastrum americanum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Mandevilla coccinea,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Mandevilla fragrans,s.i.,LC,EX,EX,s.i.,LC,s.i.
Mandevilla hirsuta,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Mandevilla sellowii,s.i.,NT,EX,EX,s.i.,NT,s.i.
Mandevilla venulosa,s.i.,NT,VU,VU,s.i.,NT,s.i.
Mandirola multiflora,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Manettia campanulacea,CR,s.i.,CR,CR,s.i.,CR,CR
Manettia pauciflora,EN,s.i.,VU,VU,s.i.,EN,EN
Manettia tweedieana,s.i.,NT,VU,VU,s.i.,NT,s.i.
Manihot carthagenensis,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Manihot procumbens,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Manilkara cavalcantei,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Manilkara dardanoi,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Manilkara decrescens,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Manilkara elata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Manilkara excelsa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Manilkara maxima,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Manilkara multifida,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Manilkara subsericea,s.i.,s.i.,s.i.,s.i.,s.i.,EN|LC,s.i.
Mapinguari desvauxianus,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Maranta subterranea,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Marcetia alba,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Marcetia bahiana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Marcetia bracteolaris,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Marcetia formosa,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Marcetia hatschbachii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Marcetia luetzelburgii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Marcetia lychnophoroides,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Marcetia nummularia,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Marcetia oxycoccoides,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Marcetia semiriana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Marcetia shepherdii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Marcetia viscida,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Marcgravia polyantha,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Marchantia berteroana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Margaritaria nobilis,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Margyricarpus pinnatus,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Marlierea krapovickae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Marlierea lealcostae,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Marlierea regeliana,s.i.,LC,VU,VU,s.i.,LC,s.i.
Marlierea reitzii,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Marlierea skortzoviana,CR,s.i.,CR,CR,CR,CR,CR
Marlierea suaveolens,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Marsdenia altissima,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Marsdenia fontellana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Marsdenia otoniensis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Marsdenia queirozii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Martianthus sancti-gabrielii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Mascagnia divaricata,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Masdevallia discoidea,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Matayba leucodictya,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Matelea bahiensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Matelea glaziovii,VU,s.i.,VU,VU,s.i.,VU,VU
Matelea hatschbachii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Matelea marcoassisii,VU,s.i.,VU,VU,s.i.,VU,VU
Matelea santosii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Mauritia flexuosa,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Maxillaria cleistogama,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maxillaria crassifolia,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maxillaria desvauxiana,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maxillaria elluziae,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maxillaria marginata,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Maxillaria parviflora,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maxillaria phoenicanthera,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maxillaria schunkeana,s.i.,s.i.,s.i.,s.i.,s.i.,EN,s.i.
Maxillaria valenzuelana,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maytenus acanthophylla,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Maytenus aquifolia,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maytenus basidentata,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Maytenus brasiliensis,s.i.,s.i.,s.i.,CR,s.i.,LC,s.i.
Maytenus floribunda,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maytenus glaucescens,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maytenus ilicifolia,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Maytenus quadrangulata,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Maytenus robusta,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Maytenus rupestris,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Medusantha carvalhoi,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Medusantha eriophylla,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Medusantha eriophylla var. coriifolia,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Megalastrum wacketii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Melanopsidium nigrum,VU,s.i.,VU,VU,s.i.,s.i.,VU
Melanoxylon brauna,VU,s.i.,EW,EW,s.i.,VU,VU
Melanthera latifolia,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Melasma rhinanthoides,s.i.,LC,EX,EX,s.i.,LC,s.i.
Melica arzivencoi,EN,s.i.,CR,CR,s.i.,EN,EN
Melicoccus espiritosantensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Melocactus azureus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Melocactus conoideus,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Melocactus deinacanthus,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Melocactus ferreophilus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Melocactus glaucescens,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Melocactus lanssensianus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Melocactus pachyacanthus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Melocactus paucispinus,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Melocactus violaceus,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Melpomene peruviana,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Meniscium angustifolium,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Meniscium macrophyllum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Meriania callophylla,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Merianthera burlemarxii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Merianthera pulchra,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Merostachys abadiana,CR,s.i.,CR,CR,s.i.,CR,CR
Merostachys bradei,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Merostachys brevigluma,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Merostachys burmanii,EN,s.i.,EN,EN,s.i.,EN,EN
Merostachys caucaiana,CR,s.i.,CR,CR,CR,CR,CR
Merostachys fistulosa,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Merostachys kleinii,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Merostachys neesii,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Merostachys polyantha,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Merostachys scandens,CR,s.i.,CR,CR,CR,CR,CR
Merostachys skvortzovii,s.i.,LC,EN,EN,s.i.,LC,s.i.
Merremia repens,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Mesadenella atroviridis,s.i.,NT,EX,EX,s.i.,NT,s.i.
Mesosetum ferrugineum,s.i.,LC,EN,EN,s.i.,LC,s.i.
Metastelma giuliettianum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Metastelma harleyi,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Metrodorea maracasana,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Metzgeria brasiliensis,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Metzgeria hegewaldii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Metzgeria liebmanniana,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Metzgeria psilocraspeda,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Metzgeria subaneura,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Mezia araujoi,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Mezilaurus itauba,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Mezilaurus navalium,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Miconia angelana,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Miconia capixaba,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Miconia carvalhoana,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Miconia cipoensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Miconia doriana,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Miconia eichleri,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Miconia fasciculata,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Miconia glazioviana,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Miconia johnwurdackiana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Miconia jucunda,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia kollmannii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia longicuspis,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Miconia macrothyrsa,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Miconia mendoncae,VU,s.i.,VU,VU,s.i.,VU,VU
Miconia michelangeliana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia paniculata,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Miconia paucidens,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Miconia penduliflora,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Miconia picinguabensis,EN,s.i.,EN,EN,s.i.,EN,EN
Miconia polyandra,s.i.,LC,VU,VU,s.i.,LC,s.i.
Miconia ramboi,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia robusta,s.i.,LC,EN,s.i.,s.i.,LC,s.i.
Miconia robustissima,s.i.,s.i.,s.i.,EN,s.i.,LC,s.i.
Miconia sclerophylla,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Miconia serrulata,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Miconia setosociliata,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Miconia shepherdii,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Miconia suberosa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia tentaculifera,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Miconia urophylla,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Miconia warmingiana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia weddellii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Miconia willdenowii,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Micranthemum umbrosum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Micranthocereus albicephalus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Micranthocereus auriazureus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Micranthocereus dolichospermaticus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Micranthocereus polyanthus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Micranthocereus streckeri,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
