original_uicn_name,especie
Tripsacum andersonii,Tripsacum andersonii
Triumfetta bogotensis,Triumfetta bogotensis
Triumfetta semitriloba,Triumfetta semitriloba
Ulex europaeus,Ulex europaeus
Unonopsis guatterioides,Unonopsis guatterioides
Urbanodendron bahiense,Urbanodendron bahiense
Urena lobata,Urena lobata
Urera baccifera,Urera baccifera
Urera caracasana,Urera caracasana
Utricularia amethystina,Utricularia amethystina
Utricularia breviscapa,Utricularia breviscapa
Utricularia cucullata,Utricularia cucullata
Utricularia erectiflora,Utricularia erectiflora
Utricularia foliosa,Utricularia foliosa
Utricularia gibba,Utricularia gibba
Utricularia hispida,Utricularia hispida
Utricularia hydrocarpa,Utricularia hydrocarpa
Utricularia longifolia,Utricularia longifolia
Utricularia nana,Utricularia nana
Utricularia nelumbifolia,Utricularia nelumbifolia
Utricularia neottioides,Utricularia neottioides
Utricularia nervosa,Utricularia nervosa
Utricularia nigrescens,Utricularia nigrescens
Utricularia olivacea,Utricularia olivacea
Utricularia praelonga,Utricularia praelonga
Utricularia pubescens,Utricularia pubescens
Utricularia pusilla,Utricularia pusilla
Utricularia reniformis,Utricularia reniformis
Utricularia subulata,Utricularia subulata
Utricularia trichophylla,Utricularia trichophylla
Utricularia tricolor,Utricularia tricolor
Utricularia warmingii,Utricularia warmingii
Vandellia diffusa,Lindernia diffusa
Vantanea compacta,Vantanea compacta
Varronia polycephala,Varronia polycephala
Vassobia breviflora,Vassobia breviflora
Vernonanthura discolor,Vernonanthura discolor
Vernonanthura divaricata,Vernonanthura divaricata
Vernonanthura petiolaris,Vernonanthura petiolaris
Veronica peregrina,Veronica peregrina
Vigna adenantha,Leptospron adenanthum
Vigna longifolia,Vigna longifolia
Vigna luteola,Vigna luteola
Virola gardneri,Virola gardneri
Virola sebifera,Virola sebifera
Vismia brasiliensis,Vismia brasiliensis
Vismia micrantha,Vismia micrantha
Vitex cymosa,Vitex cymosa
Vitex megapotamica,Vitex megapotamica
Vitex mexiae,Vitex mexiae
Vitex polygama,Vitex polygama
Vitex sellowiana,Vitex sellowiana
Vochysia magnifica,Vochysia magnifica
Vochysia oppugnata,Vochysia oppugnata
Vochysia rufa,Vochysia rufa
Vochysia thyrsoidea,Vochysia thyrsoidea
Vochysia tucanorum,Vochysia tucanorum
Vriesea bituminosa,Vriesea bituminosa
Weinmannia humilis,Weinmannia humilis
Wolffia arrhiza,Wolffia arrhiza
Wolffia brasiliensis,Wolffia brasiliensis
Wunderlichia mirabilis,Wunderlichia mirabilis
Xanthosoma striatipes,Xanthosoma striatipes
Ximenia americana,Ximenia americana
Xylopia aromatica,Xylopia aromatica
Xylopia emarginata,Xylopia emarginata
Xylosma ciliatifolia,Xylosma ciliatifolia
Xylosma prockia,Xylosma prockia
Xylosma pseudosalzmannii,Xylosma pseudosalzmannii
Xylosma venosa,Xylosma venosa
Xyris anceps,Xyris anceps
Xyris capensis,Xyris capensis
Zanthoxylum acuminatum,Zanthoxylum acuminatum
Zanthoxylum caribaeum,Zanthoxylum caribaeum
Zanthoxylum fagara,Zanthoxylum fagara
Zanthoxylum monogynum,Zanthoxylum monogynum
Zanthoxylum rhoifolium,Zanthoxylum rhoifolium
Zanthoxylum riedelianum,Zanthoxylum riedelianum
Zanthoxylum tingoassuiba,Zanthoxylum tingoassuiba
Zeyheria tuberculosa,Zeyheria tuberculosa
Zollernia glabra,Zollernia glabra
Zollernia ilicifolia,Zollernia ilicifolia
Zornia pardina,Zornia pardina
Zygopetalum crinitum,Zygopetalum crinitum
